,Unnamed: 0.1,Unnamed: 0,business,Count
340,340,340,مصانع الأدوات المنزلية الأخرى,0
341,341,341,مصانع منتجات الألمنيوم المنزلية,0
342,342,342,مصانع أنابيب البلاستيك (التمديدات),0
343,343,343,مصانع الإسمنت,0
344,344,344,مصانع وحدات التكييف الحائطية,0
345,345,345,مصانع البلاط,0
346,346,346,مصانع معدات السباكة وتكييف الهواء الأخرى,0
347,347,347,مصانع الخرسانة والجبس والجص,0
348,348,348,مصانع الورق الأساسي,0
349,349,349,مصانع الحجر,0
350,350,350,مصانع ألواح وصناديق الورق المقوى,0
351,351,351,مصانع القضبان الفولاذية,0
352,352,352,مصانع الورق الصحي,0
353,353,353,مصانع الألومنيوم,0
354,354,354,مصانع منتجات الورق الأخرى,0
355,355,355,مصانع المنتجات المعدنية الأخرى,0
356,356,356,مصانع الكتب,0
357,357,357,مصانع منتجات تشييد المباني,0
358,358,358,مصانع منتجات اللحوم,0
359,359,359,إجمالي عدد المطاعم,121
360,360,360,إجمالي عدد المدارس,11
361,361,361,إجمالي عدد المراكز الصحية,4
362,362,362,إجمالي عدد المقاهي ,46
363,363,363,إجمالي عدد المساجد ,50
364,364,365,إجمالي عدد السوبر ماركت ,5
365,365,366,إجمالي عدد البقالات المحلية ,66
366,366,367,اجمالي عدد محطات الباصات,11
367,367,368,اجمالي عدد الحدائق,4
368,368,369,إجمالي عدد المراكز الرياضية,11
